name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike
ALBUQUERQUE,2022-02-21,51,40.7,44.1,51,35.9,40.3
ALBUQUERQUE,2022-02-22,45.4,36,40.5,36.9,26.1,32.5
COLUMBIA,2022-02-15,58.7,29.9,44.6,58.7,28.5,42.7
COLUMBIA,2022-02-16,69,38.6,52.7,69,34.5,51.5
COLUMBIA,2022-02-17,72.2,52.1,60.7,72.2,52.1,60.7
COLUMBIA,2022-02-18,67.4,50.6,60.8,67.4,50.6,60.8
COLUMBIA,2022-02-19,60.9,39.3,48.5,60.9,35.7,46.7
COLUMBIA,2022-02-20,55.1,31.2,42.6,55.1,26.2,39.5
COLUMBIA,2022-02-21,64.3,42,52.3,64.3,40,52.1
COLUMBIA,2022-02-22,60.9,55.1,57.6,60.9,55.1,57.6
TUCSON,2022-02-15,76.9,45.8,60,76.9,43.6,59.6
TUCSON,2022-02-16,52.4,39.3,46.5,52.4,35.7,44.5
TUCSON,2022-02-17,58.7,35.5,48.3,58.7,32.3,46.9
TUCSON,2022-02-18,65.4,44.7,54.9,65.4,42.7,54.2
TUCSON,2022-02-19,72.8,48.6,59.8,72.8,47.5,59.7
TUCSON,2022-02-20,71.5,54.1,61.2,71.5,54.1,61.2
TUCSON,2022-02-21,67,51.2,57.8,67,51.2,57.8
TUCSON,2022-02-22,51.9,41.4,46.5,51.9,38.9,43.8
KNOXVILLE,2022-02-15,58,25.5,40.3,58,25.5,39.5
KNOXVILLE,2022-02-16,62.7,37.8,49.9,62.7,33,47.9
KNOXVILLE,2022-02-17,67.9,48.3,58.7,67.9,47.3,58.6
KNOXVILLE,2022-02-18,55.8,32.6,42,55.8,29.3,39.1
KNOXVILLE,2022-02-19,47,29.2,36,42.7,24.3,32.2
KNOXVILLE,2022-02-20,52.2,28.1,37.5,52.2,24.1,35.3
KNOXVILLE,2022-02-21,49.7,37.8,43.6,49.7,37.8,43.6
KNOXVILLE,2022-02-22,56,47,52.3,56,47,52.3
EARTH CITY,2022-02-15,58.6,26.5,42.2,58.6,18.3,38.5
EARTH CITY,2022-02-16,66.3,48.1,57.3,66.3,43.4,55.8
EARTH CITY,2022-02-17,59.4,19.8,37.3,59.4,5.6,28.8
EARTH CITY,2022-02-18,39.6,14.6,26.1,32.5,3.7,17.1
EARTH CITY,2022-02-19,33,19.7,27.6,33,7.8,19.4
EARTH CITY,2022-02-20,57.6,30.5,42.9,57.6,20.7,37.1
EARTH CITY,2022-02-21,57.3,39.8,48.2,57.3,35.5,46
EARTH CITY,2022-02-22,59.8,38.2,50.5,59.8,30.6,48.8
WEBSTER,2022-02-15,70,47.9,58.8,70,45.6,58.4
WEBSTER,2022-02-16,74.6,58.7,66.2,74.6,58.7,66.2
WEBSTER,2022-02-17,77.4,53.5,67.3,77.4,53.5,67.3
WEBSTER,2022-02-18,60.2,42.2,51.2,60.2,35.6,48.5
WEBSTER,2022-02-19,63.8,46.5,54.6,63.8,42.4,53.4
WEBSTER,2022-02-20,62.9,52.6,57.8,62.9,52.6,57.8
WEBSTER,2022-02-21,74.9,60,66.9,74.9,60,66.9
WEBSTER,2022-02-22,80.9,67.6,72,82.5,67.6,72.2
BEACHWOOD,2022-02-15,27.9,11.6,19.6,24.5,0.9,11.4
BEACHWOOD,2022-02-16,53.1,23.8,41.7,53.1,10.6,35.7
BEACHWOOD,2022-02-17,53.7,27.4,46,53.7,15.3,41.1
BEACHWOOD,2022-02-18,26.7,15.9,20.3,18.8,2.1,9
BEACHWOOD,2022-02-19,30.1,16.4,21.6,17.5,-1.4,7.6
